timestamp,machine_id,operation_id,energy_kWh,voltage_V,current_A,power_factor,reactive_power_kVAR,frequency_Hz,machine_utilization_%,production_output_units,operator_count,material_usage_kg,ambient_temp_C,humidity_%,shift_type,production_mode,forecast_energy_kWh,energy_state,allocation_recommendation,year,month,day,hour,minute,day_of_week,is_weekend,energy_kWh_original,voltage_V_original,current_A_original,power_factor_original,frequency_Hz_original,machine_utilization_%_original,production_output_units_original,ambient_temp_C_original,humidity_%_original,hour_sin,hour_cos,time_period,shift_phase,apparent_power_kVA,active_power_kW,reactive_active_ratio,power_quality,frequency_deviation,energy_efficiency,productivity_per_operator,material_efficiency,energy_cost_per_unit,energy_rolling_mean_3,energy_trend,energy_deviation,energy_output_ratio,hourly_variation,daily_pattern,thermal_comfort_index,difficult_conditions,relative_workload,machine_id_MCH_2,machine_id_MCH_3,machine_id_MCH_4,machine_id_MCH_5,operation_id_OP_02,operation_id_OP_03,operation_id_OP_04,operation_id_OP_05,operation_id_OP_06,operation_id_OP_07,operation_id_OP_08,operation_id_OP_09,operation_id_OP_10,shift_type_encoded,production_mode_Maintenance,production_mode_Production,production_mode_Setup,energy_state_encoded,allocation_recommendation_encoded,time_period_Matin,time_period_Nuit_Profonde,time_period_Soiree,shift_phase_Shift_Nuit,shift_phase_Shift_Soir,voltage_V_scaled,current_A_scaled,power_factor_scaled,reactive_power_kVAR_scaled,frequency_Hz_scaled,machine_utilization_%_scaled,production_output_units_scaled,operator_count_scaled,material_usage_kg_scaled,ambient_temp_C_scaled,humidity_%_scaled,forecast_energy_kWh_scaled,year_scaled,month_scaled,day_scaled,hour_scaled,minute_scaled,day_of_week_scaled,is_weekend_scaled,hour_sin_scaled,hour_cos_scaled,apparent_power_kVA_scaled,active_power_kW_scaled,reactive_active_ratio_scaled,power_quality_scaled,frequency_deviation_scaled,energy_efficiency_scaled,productivity_per_operator_scaled,material_efficiency_scaled,energy_cost_per_unit_scaled,energy_rolling_mean_3_scaled,energy_trend_scaled,energy_deviation_scaled,energy_output_ratio_scaled,hourly_variation_scaled,daily_pattern_scaled,thermal_comfort_index_scaled,difficult_conditions_scaled,relative_workload_scaled
2025-07-01 00:00:00,MCH_1,OP_05,9.75,395.41,24.66,0.974,3.42,50.04,60.95,119,4,57.53,22.14,50.93,Night,Idle,11.18,Normal,Maintain,2025,7,1,0,0,1.0,0.0,9.75,395.41,24.66,0.974,50.04,60.95,119,22.14,50.93,0.0,1.0,Nuit_Profonde,Shift_Nuit,9.750810600000001,9.497289524400001,0.35076919479290314,0.7210706342391318,0.03999999999999915,12.205126953320313,29.74999256250186,0.48344537408869437,0.01228991586310995,9.75,0.0,-0.6259999999999994,,1.50313140368246,10.735833333333332,26.358033423259556,1,0.9674796669310597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.9747101374209762,-0.7069225398595517,1.5935727981931702,-0.11103023144700395,0.4808964255500471,-1.6988614680001473,1.9515425101312376,1.2159673444790784,1.4826534684555852,-1.207899526532419,-0.4686046290839214,-0.21651551605653602,0.0,0.0,0.0,-1.647508942095828,-1.593255013631383,0.0,0.0,-0.1635813649626681,1.70728147416789,-0.7483995218786332,-0.5113195481707141,0.3287673509869945,0.3246086144956368,-0.6548577373197955,1.3965097455611601,-0.5692745144204417,0.31929664247636147,-1.2108455889292336,-0.7601589591829212,-0.00021801798710196967,-0.3509299080667682,-0.1453809359520601,-0.7361769822776064,-0.4055167009291033,-1.1208509579117687,0.5581437838992578,2.0289732742093474
2025-07-01 00:05:00,MCH_1,OP_01,10.64,400.63,26.55,0.859,2.78,49.91,66.77,88,3,57.32,28.02,61.63,Night,Setup,11.25,High,Reduce Load,2025,7,1,0,5,1.0,0.0,10.64,400.63,26.55,0.859,49.91,66.77,88,28.02,61.63,0.0,1.0,Nuit_Profonde,Shift_Nuit,10.6367265,9.1369480635,0.2612781709325027,0.6810551548394072,0.09000000000000341,8.270675914410159,29.333323555558813,0.651363628961777,0.018136363430268598,10.195,0.8900000000000006,0.2640000000000011,0.089411763954523,1.50313140368246,10.735833333333332,32.50613775848902,1,0.7154471486549012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.09467769896258096,-0.43634068343828203,-1.466172115065736,-0.8526480584716906,-0.7932177454047268,-1.1313920841170089,-1.2567561188630185,-0.0174737488217619,1.4579347464496846,0.14076921084205588,0.7628290431927403,-0.19268487971597983,0.0,0.0,0.0,-1.647508942095828,-1.3035722838802226,0.0,0.0,-0.1635813649626681,1.70728147416789,-0.4315896429645282,-0.6497528996717071,-0.4819933469297306,-0.2979295097580151,0.14310051286684244,-0.2893243483555521,-0.6076851961600066,2.0693655475834305,0.04575197766505638,-0.5986111760192302,1.058160210307912,0.14799599956809503,-0.9669511576543686,-0.7361769822776064,-0.4055167009291033,0.6676028296142617,0.5581437838992578,-1.1962271873383672
2025-07-01 00:10:00,MCH_1,OP_08,10.92,395.18,27.64,0.898,3.34,50.04,60.86,84,2,45.52,29.38,59.82,Day,Setup,10.69,High,Reduce Load,2025,7,1,0,10,1.0,0.0,10.92,395.18,27.64,0.898,50.04,60.86,84,29.38,59.82,0.0,1.0,Nuit_Profonde,Shift_Nuit,10.9227752,9.8086521296,0.3058607778515771,0.6876690189572918,0.03999999999999915,7.692306987883976,41.9999790000105,0.5419047554535149,0.019499999767857146,10.436666666666667,0.27999999999999936,0.5440000000000005,0.12409090768078514,1.50313140368246,10.735833333333332,32.64280735170839,1,0.6829268237160421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.021828758564317,-0.2802908297350102,-0.4285194923083669,-0.20373245982508986,0.4808964255500471,-1.7076367677509177,-1.6707301355074387,-1.2509148421226022,0.06897798611813281,0.4527061977177847,0.5545211042375291,-0.3833299704404287,0.0,0.0,0.0,-1.647508942095828,-1.013889554129062,0.0,0.0,-0.1635813649626681,1.70728147416789,-0.32929657653402683,-0.39170253584506887,-0.078088866441937,-0.19503476442991602,-0.6548577373197955,-0.5371439413704735,0.5599919357464329,0.9285689673685854,0.33884313838269114,-0.5108792338516824,0.3327549077686318,0.3049614536554673,0.1465039943177421,-0.7361769822776064,-0.4055167009291033,0.7073593526505135,0.5581437838992578,-1.6123820856025883
2025-07-01 00:15:00,MCH_1,OP_05,10.87,405.2,26.83,0.935,3.9,49.91,69.51,96,3,58.55,24.3,46.94,Night,Idle,12.94,High,Reduce Load,2025,7,1,0,15,1.0,0.0,10.87,405.2,26.83,0.935,49.91,69.51,96,24.3,46.94,0.0,1.0,Nuit_Profonde,Shift_Nuit,10.871516,10.16486746,0.3587856155671007,0.6881144378392391,0.09000000000000341,8.83164592165171,31.999989333336888,0.6098958269802518,0.016984374823079428,10.81,-0.05000000000000071,0.4939999999999998,0.12940476036422904,1.50313140368246,10.735833333333332,26.240230452336196,1,0.7804877985326195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0309042147236684,-0.3962544824869832,0.5559201754358039,0.4451831388215109,-0.7932177454047268,-0.8642329583713378,-0.42880808557417827,-0.0174737488217619,1.6027158324842443,-0.712470194435673,-0.927802792858116,0.38265476907744567,0.0,0.0,0.0,-1.647508942095828,-0.7242068243779014,0.0,0.0,-0.1635813649626681,1.70728147416789,-0.3476272340436551,-0.2548543310336048,0.4013936169667105,-0.18810519018929053,0.14310051286684244,-0.04895984654325575,-0.36185829569648426,1.6371819778705594,-0.20184899094189857,-0.3753485093997471,-0.05967746901491255,0.2769319082827218,0.31711768345334673,-0.7361769822776064,-0.4055167009291033,-1.1551192718573289,0.5581437838992578,-0.363917390809925
2025-07-01 00:20:00,MCH_1,OP_05,10.07,400.87,25.13,0.966,4.34,49.9,82.9,104,3,42.41,25.49,56.39,Day,Production,9.69,High,Reduce Load,2025,7,1,0,20,1.0,0.0,10.07,400.87,25.13,0.966,49.9,82.9,104,25.49,56.39,0.0,1.0,Nuit_Profonde,Shift_Nuit,10.0738631,9.7313517546,0.43098307537407393,0.6750603949298823,0.10000000000000142,10.32770503200546,34.66665511111496,0.40778845761741866,0.014524038321884246,10.62,-0.7999999999999989,-0.30599999999999916,0.10489583224066842,1.50313140368246,10.735833333333332,29.66984621389383,1,0.8455284484103378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.14384495580780413,-0.6396349882627281,1.3807209781403764,0.9550453949009828,-0.8912265277858418,0.4413366378821381,0.399139947714662,-0.0174737488217619,-0.2970945159692516,-0.43952533091941076,0.1597718055544498,-0.7237676324483729,0.0,0.0,0.0,-1.647508942095828,-0.43452409462674085,0.0,0.0,-0.1635813649626681,1.70728147416789,-0.6328736312067321,-0.4213992295222453,1.0554800311776655,-0.39119258308389027,0.30269216290412465,0.5920717560377442,-0.11603139523296195,-0.4692109386245602,-0.7306577803633192,-0.44432396737975044,-0.9515692344320564,-0.1715408176811994,-0.4697988708855255,-0.7361769822776064,-0.4055167009291033,-0.15746064993548772,0.5581437838992578,0.4683924057185172
2025-07-01 00:25:00,MCH_1,OP_08,11.02,397.31,27.75,0.891,2.19,49.96,91.45,106,3,43.44,31.46,65.83,Day,Production,10.56,High,Reduce Load,2025,7,1,0,25,1.0,0.0,11.02,397.31,27.75,0.891,49.96,91.45,106,31.46,65.83,0.0,1.0,Nuit_Profonde,Shift_Nuit,11.0253525,9.823589077500001,0.1987295645435967,0.7432869150426257,0.03999999999999915,9.618873900283676,35.33332155555948,0.4098113168885725,0.015594339475525097,10.653333333333332,0.9499999999999993,0.6440000000000001,0.10596153744267753,1.50313140368246,10.735833333333332,35.485357278882475,2,0.8617886108797674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.585469354062979,-0.2645426793612856,-0.6147648348545613,-1.5363269927600733,-0.3031738334990124,1.2749901142053057,0.606126956036872,-0.0174737488217619,-0.17585506994031092,0.9297862952924294,1.2461955313761022,-0.42758686650146116,0.0,0.0,0.0,-1.647508942095828,-0.14484136487558028,0.0,0.0,-0.1635813649626681,1.70728147416789,-0.2926141984523874,-0.38596416825942303,-1.048664165767327,0.6702369060161102,-0.6548577373197955,0.2883517003378876,-0.054574670117081614,-0.4481283999063632,-0.5006141838478733,-0.4322230098393991,1.1295115515412821,0.3610205444009573,-0.43558190875327124,-0.7361769822776064,-0.4055167009291033,1.5342433653950032,2.056516358125453,0.6764698548506285
2025-07-01 00:30:00,MCH_1,OP_01,10.59,402.59,26.3,0.928,4.41,49.93,85.24,88,2,34.48,25.69,53.39,Night,Idle,10.72,High,Reduce Load,2025,7,1,0,30,1.0,0.0,10.59,402.59,26.3,0.928,49.93,85.24,88,25.69,53.39,0.0,1.0,Nuit_Profonde,Shift_Nuit,10.588117,9.825772576,0.41643055557785125,0.6551680181887988,0.07000000000000028,8.309725372075036,43.999978000011,0.3918181773657025,0.01805113615850982,10.56,-0.4299999999999997,0.2140000000000004,0.09990565943485227,1.50313140368246,10.735833333333332,28.869785130097895,1,0.7154471486549012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.49621029653188403,-0.4721319342876563,0.36967483288960945,1.036159844731808,-0.5972001806424271,0.6694944314021619,-1.2567561188630185,-1.2509148421226022,-1.230520542192066,-0.3936522446141559,-0.18548997171938048,-0.37311684058019,0.0,0.0,0.0,-1.647508942095828,0.14484136487558028,0.0,0.0,-0.1635813649626681,1.70728147416789,-0.44897274875264537,-0.3851253277479889,0.9236387514886829,-0.7006668937534349,-0.1760827872078354,-0.27259243164611396,0.7443620803657274,-0.6356555630967395,0.027433779978456706,-0.46610569095238247,-0.5115692968262653,0.11996645419534953,-0.6300200592668109,-0.7361769822776064,-0.4055167009291033,-0.3901945460354499,0.5581437838992578,-1.1962271873383672
2025-07-01 00:35:00,MCH_1,OP_06,11.04,404.12,27.32,0.856,3.76,50.0,86.59,111,2,38.22,33.95,65.45,Day,Idle,9.7,High,Reduce Load,2025,7,1,0,35,1.0,0.0,11.04,404.12,27.32,0.856,50.0,86.59,111,33.95,65.45,0.0,1.0,Nuit_Profonde,Shift_Nuit,11.0405584,9.4507179904,0.34057967929531896,0.6385297444236658,0.0,10.054346915367129,55.49997225001387,0.3443243212223034,0.014918918784514245,10.883333333333333,0.4499999999999993,0.6639999999999997,0.12545454402892564,1.50313140368246,10.735833333333332,36.61589101602677,2,0.9024390170533414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8096515589201759,-0.32610363082220933,-1.5459915475855337,0.28295423915986057,0.08886129602551736,0.8011239276637157,1.1235944768423973,-1.2509148421226022,-0.7902918740869804,1.5009062197928453,1.2024623729214177,-0.7203632558282935,0.0,0.0,0.0,-1.647508942095828,0.43452409462674085,0.0,0.0,-0.1635813649626681,1.70728147416789,-0.2871764595679403,-0.5292110600718434,0.2364535262045045,-0.9595157166576006,-1.2932243374690378,0.4749432345946583,1.8044904119266703,-1.1306435611736236,-0.6457847317750055,-0.34872640281097445,0.5349170412631848,0.37223236255005515,0.19028673385821265,-0.7361769822776064,-0.4055167009291033,1.8631101565026096,2.056516358125453,1.1966634776809053
2025-07-01 00:40:00,MCH_1,OP_09,10.62,403.64,26.32,0.926,2.28,50.18,72.74,110,4,37.34,34.74,49.06,Night,Production,12.2,High,Reduce Load,2025,7,1,0,40,1.0,0.0,10.62,403.64,26.32,0.926,50.18,72.74,110,34.74,49.06,0.0,1.0,Nuit_Profonde,Shift_Nuit,10.6238048,9.8376432448,0.21468924532116335,0.7623348964081477,0.17999999999999972,10.35781446724911,27.49999312500172,0.3394545423685951,0.014481818050165289,10.75,-0.41999999999999993,0.24399999999999977,0.09567567481373265,1.50313140368246,10.735833333333332,32.09375705222346,2,0.8943089358186266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.7113170452297296,-0.46926863421970644,0.316461877876411,-1.4320369858347268,1.853019378885936,-0.5492972006492532,1.0201009726812922,1.2159673444790784,-0.8938750901117059,1.6821049106985995,-0.6838178035846086,0.1307308991915669,0.0,0.0,0.0,-1.647508942095828,0.7242068243779014,0.0,0.0,-0.1635813649626681,1.70728147416789,-0.4362105355485356,-0.3805649408792729,-0.9040744475187935,0.9665745925312987,1.5794253632026092,0.6049730507750105,-0.7766909789712382,-1.1813971171408666,-0.7397323320622025,-0.3971302329723798,-0.49967740662070365,0.13678418141899623,-0.7658336250897086,-0.7361769822776064,-0.4055167009291033,0.5476432785381377,2.056516358125453,1.0926247531148496
2025-07-01 00:45:00,MCH_1,OP_04,11.13,408.09,27.27,0.936,4.41,49.85,71.76,110,2,40.45,24.92,57.79,Night,Production,10.73,High,Reduce Load,2025,7,1,0,45,1.0,0.0,11.13,408.09,27.27,0.936,49.85,71.76,110,24.92,57.79,0.0,1.0,Nuit_Profonde,Shift_Nuit,11.128614299999999,10.4163829848,0.39622637949448525,0.6703783954711459,0.14999999999999858,9.883197674465618,54.99997250001375,0.36772726938429756,0.015177272589297523,10.93,0.5100000000000016,0.7540000000000013,0.10118181726198348,1.50313140368246,10.735833333333332,29.80502568186093,1,0.8943089358186266,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.6229599325682056,-0.33326188099208426,0.5825266529424031,1.036159844731808,-1.3812704396914866,-0.6448504646020832,1.0201009726812922,-1.2509148421226022,-0.5278025880243222,-0.5702636268893847,0.3208939682822371,-0.36971246396011065,0.0,0.0,0.0,-1.647508942095828,1.013889554129062,0.0,0.0,-0.1635813649626681,1.70728147416789,-0.2556870382620667,-0.1582289330967917,0.7405952327584131,-0.4640324741591046,1.1006504130906491,0.4016091855478431,1.758397875771847,-0.8867345716650384,-0.5902558385998257,-0.33178506225448245,0.6062683824965592,0.42268554422099724,-0.5890460225787967,-0.7361769822776064,-0.4055167009291033,-0.1181375971212761,0.5581437838992578,1.0926247531148496
